verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
PAS DE  SON REPRODUIT SUR ENCEINTE  HP LORS  D UN APPELLE,##,CTRL EFFET CLIENT   ET REPRODUIT   CTRL PARAMETRE ET ONNECTION  ET MAJ ET RADIO ET CODECAL QVQYJT,PAS DE  SON REPRODUIT SUR ENCEINTE  HP LORS  D UN APPELLE,##,CTRL EFFET CLIENT   ET REPRODUIT   CTRL PARAMETRE ET ONNECTION  ET MAJ ET RADIO ET CODECAL QVQYJT,PAS DE SON REPRODUIT SUR ENCEINTE HP LORS D UN APPELLE. ##. CTRL EFFET CLIENT  ET REPRODUIT  CTRL PARAMETRE ET ONNECTION ET MAJ ET RADIO ET CODECAL QVQYJT,sound issue
MON GPS BUG A PLUSIEURS REPRISE,DIAG RADIO GPS APPLICATION SOLUTION ACTIS 40245 PLUS RESET 12V CONFIGUE  GPS,DIAG RADIO GPS APPLICATION SOLUTION ACTIS 40245 PLUS RESET 12V CONFIGUE  GPS,MON GPS BUG A PLUSIEURS REPRISE,DIAG RADIO APPLICATION GPS SOLUTION ACTIS 40245 PLUS RESET 12V CONFIGURER LE GPS,DIAG RADIO APPLICATION GPS SOLUTION ACTIS 40245 PLUS RESET 12V CONFIGURER LE GPS,MON GPS BUG A PLUSIEURS REPRISE. DIAG RADIO APPLICATION GPS SOLUTION ACTIS 40245 PLUS RESET 12V CONFIGURER LE GPS. DIAG RADIO APPLICATION GPS SOLUTION ACTIS 40245 PLUS RESET 12V CONFIGURER LE GPS,display issue
ZWART SCHERM GEEN RADIO,"UITLEZEN,RADIO VERVANGEN",##,ÉCRAN NOIR PAS DE RADIO,"LIRE, REMPLACER LA RADIO",##,"ÉCRAN NOIR PAS DE RADIO. LIRE, REMPLACER LA RADIO. ##",radnav doesn't work
PLUS DE SON A LA RADIO LORS DES APPELS,##,##,PLUS DE SON A LA RADIO LORS DES APPELS,##,##,PLUS DE SON A LA RADIO LORS DES APPELS. ##. ##,sound issue
##,##,REPROGAMMATION DU RLINK ET REINITIALISATION DU SYSTEME . APPRENTISSAGE DU VEHICULE .RESET DU  TCU PAR LE FUSIBLE F31,##,##,REPROGAMMATION DU RLINK ET REINITIALISATION DU SYSTEME . APPRENTISSAGE DU VEHICULE .RESET DU  TCU PAR LE FUSIBLE F31,##. ##. REPROGAMMATION DU RLINK ET REINITIALISATION DU SYSTEME . APPRENTISSAGE DU VEHICULE .RESET DU TCU PAR LE FUSIBLE F31,connectivity issue
"CONTROLLO MALFUNZIONAMENTO DEL BLUE TOOTH, NON SI CONNETTONO I DISPOSITIVI",SOFTWARE AUTORADIO DIFETTOSO,CODECAL AYLSGP,"CONTRÔLE DE DYSFONCTIONNEMENT BLUE TOOTH, LES APPAREILS NE SE CONNECTENT PAS",LOGICIEL DU SYSTÈME SONORE DÉFECTUEUX,CODECAL AYLSGP,"CONTRÔLE DE DYSFONCTIONNEMENT BLUE TOOTH, LES APPAREILS NE SE CONNECTENT PAS. LOGICIEL DU SYSTÈME SONORE DÉFECTUEUX. CODECAL AYLSGP",bluetooth
##,MICROFONO VIVA VOCE NON FUNZIONANTE,MICROFONO VIVA VOCE NON FUNZIONANTE,##,LE MICROPHONE MAINS LIBRES NE FONCTIONNE PAS,LE MICROPHONE MAINS LIBRES NE FONCTIONNE PAS,##. LE MICROPHONE MAINS LIBRES NE FONCTIONNE PAS. LE MICROPHONE MAINS LIBRES NE FONCTIONNE PAS,microphone issue
SCHERMO OSCURATO,SCHERMO OSCURATO,"ORDINATO AUTORADIO REFERENZA CORRETTA MA LA NUOVA RADIO NON SI ACCENDE, 1-S77DKL",ÉCRAN FONCÉ,ÉCRAN FONCÉ,"LA RADIO A COMMANDE UNE REFERENCE CORRECTE MAIS LA NOUVELLE RADIO NE S'ALLUME PAS, 1-S77DKL","ÉCRAN FONCÉ. ÉCRAN FONCÉ. LA RADIO A COMMANDE UNE REFERENCE CORRECTE MAIS LA NOUVELLE RADIO NE S'ALLUME PAS, 1-S77DKL",radnav doesn't work
RADIO NOT WORKING,CARRY OUT REPLACEMENT OF RADIO.,CARRY OUT REPLACEMENT OF RADIO.,LA RADIO NE FONCTIONNE PAS,EFFECTUER LE REMPLACEMENT DE LA RADIO.,EFFECTUER LE REMPLACEMENT DE LA RADIO.,LA RADIO NE FONCTIONNE PAS. EFFECTUER LE REMPLACEMENT DE LA RADIO. EFFECTUER LE REMPLACEMENT DE LA RADIO.,radnav doesn't work
"RADIO ON BUTTON, NOT ALIGNED CORRECTLY.","rADIO HAS BEEN FITTED INCORECTLY WITH THE ON BUTTON TRAPPED,",REMOVE RADIO SURROUND AND CORRECTLY ALIGN ON BUTTON.,"RADIO SUR LE BOUTON, PAS ALIGNÉ CORRECTEMENT.","LA RADIO N'A PAS ÉTÉ INCORRECTEMENT MONTÉE AVEC LE BOUTON ON PRISONNÉ,",RETIREZ LE SURROUND RADIO ET ALIGNEZ CORRECTEMENT SUR LE BOUTON.,"RADIO SUR LE BOUTON, PAS ALIGNÉ CORRECTEMENT. LA RADIO N'A PAS ÉTÉ INCORRECTEMENT MONTÉE AVEC LE BOUTON ON PRISONNÉ,. RETIREZ LE SURROUND RADIO ET ALIGNEZ CORRECTEMENT SUR LE BOUTON.",wrong designation
No se puede descolgar el telefono en manos libres ni por volante ni po,CTRL SOFTWARE ACTIS 33381 DESCONECTAR BATERIA Y RECOFINGURACION AUT RE,ACTIS 33381 CTRL SOFTWARE. DESCONECTAR BATERIA Y CONFIGURACIÓN,Vous ne pouvez pas décrocher le téléphone mains libres ni par le volant ni par,CTRL SOFTWARE ACTIS 33381 DECONNECTER BATTERIE ET AUTO RESET,LOGICIEL ACTIS 33381 CTRL. DÉCONNECTER LA BATTERIE ET LES RÉGLAGES,Vous ne pouvez pas décrocher le téléphone mains libres ni par le volant ni par. CTRL SOFTWARE ACTIS 33381 DECONNECTER BATTERIE ET AUTO RESET. LOGICIEL ACTIS 33381 CTRL. DÉCONNECTER LA BATTERIE ET LES RÉGLAGES,bluetooth
PROBLEME CONNECTION BLUETHOOT,APPLICATION SOLUTION ACTIS N°33381,PROBLEME DE CONNEXION BLUETOOTH AVEC TELEPHONE,PROBLÈME DE CONNEXION BLUETHOOT,LIVRAISON SOLUTION APPLICATION N°33381,PROBLEME DE CONNEXION BLUETOOTH AVEC TELEPHONE,PROBLÈME DE CONNEXION BLUETHOOT. LIVRAISON SOLUTION APPLICATION N°33381. PROBLEME DE CONNEXION BLUETOOTH AVEC TELEPHONE,bluetooth
LA PANTALLA NO FUNCIONA(I202),RADIO BLOQUEADA POR FALLO INTERNO EN PANTALLA,CODECAL: M464DB/ INTERVENCION DESDOBLADA DE LA AVERIA 02,L'AFFICHAGE NE FONCTIONNE PAS (I202),RADIO BLOQUÉE EN RAISON D'UNE PANNE INTERNE SUR L'AFFICHAGE,CODECAL : M464DB DÉPANNAGE DÉPANNAGE 02,L'AFFICHAGE NE FONCTIONNE PAS (I202). RADIO BLOQUÉE EN RAISON D'UNE PANNE INTERNE SUR L'AFFICHAGE. CODECAL : M464DB DÉPANNAGE DÉPANNAGE 02,radnav doesn't work
LA PANTALLA NO FUNCIONA(I202),ANOMALIA INTERNA EN PANTALLA AFECTANDO A LA RADIO,,L'AFFICHAGE NE FONCTIONNE PAS (I202),ANOMALIE DE L'AFFICHAGE INTERNE AFFECTANT LA RADIO,,L'AFFICHAGE NE FONCTIONNE PAS (I202). ANOMALIE DE L'AFFICHAGE INTERNE AFFECTANT LA RADIO. ,display issue
NO EMPAREJA EL TELEFONO,FALLO DEL SISTEMA,...,NE JUMELLE PAS LE TÉLÉPHONE,DÉFAILLANCE DU SYSTÈME,...,NE JUMELLE PAS LE TÉLÉPHONE. DÉFAILLANCE DU SYSTÈME..,bluetooth
Echo dans les HP lors d'une communication téléphonique.,CONTROLE ET APPLICATION ACTIS 47125,CONTROLE ET APPLICATION ACTIS 47125,Echo dans les HP lors d'une communication téléphonique.,CONTRÔLE ET LIVRAISON D'APPLICATIONS 47125,CONTRÔLE ET LIVRAISON D'APPLICATIONS 47125,Echo dans les HP lors d'une communication téléphonique. CONTRÔLE ET LIVRAISON D'APPLICATIONS 47125. CONTRÔLE ET LIVRAISON D'APPLICATIONS 47125,sound issue
TELEPHONE  NE SE CONNECTE PLUS,##,MAJ RLINK,TELEPHONE  NE SE CONNECTE PLUS,##,MAI RLINK,TELEPHONE NE SE CONNECTE PLUS. ##. MAI RLINK,bluetooth
LE RLINK NE FONCTIONNE PAS CLE DE SOL ALLUME AU TABLEAU DE BORD,##,PAR MOMENT NE DETECTE PAS LE BADGE,LE RLINK NE FONCTIONNE PAS CLE DE SOL ALLUME AU TABLEAU DE BORD,##,PAR MOMENT NE DETECTE PAS LE BADGE,LE RLINK NE FONCTIONNE PAS CLE DE SOL ALLUME AU TABLEAU DE BORD. ##. PAR MOMENT NE DETECTE PAS LE BADGE,wrong designation
CHANGEMENT DE FREQUENCE SUR RADIO NE S'EFFECTUE PAS AUTOMATIQUEMENT,CONFIGURATION RADIO ET MODE REGION ON/OFF,"CODE MCS I226 UTILISATION CODE 0834 POUR CONTROLE SYSTEME MULTIMEDIA,REPRODUCTION EFFET CLIENT",CHANGEMENT DE FREQUENCE SUR RADIO NE S'EFFECTUE PAS AUTOMATIQUEMENT,CONFIGURATION RADIO ET MODE REGION ONOFF,"CODE MCS I226 UTILISATION CODE 0834 POUR CONTROLE SYSTEME MULTIMEDIA,REPRODUCTION EFFET CLIENT","CHANGEMENT DE FREQUENCE SUR RADIO NE S'EFFECTUE PAS AUTOMATIQUEMENT. CONFIGURATION RADIO ET MODE REGION ONOFF. CODE MCS I226 UTILISATION CODE 0834 POUR CONTROLE SYSTEME MULTIMEDIA,REPRODUCTION EFFET CLIENT",reception issue ( fm am dab gps)
PROBLEME ECRAN R-LINK SE FIGE,mise a jour logiciel rlink 2,"code mcs i202 utilisation code 8264 pour reproduction effet client,reset batterie avec apprentissage",PROBLÈMES D'ÉCRAN R-LINK SE FIGE,mise a jour logiciel rlink 2,"code mcs i202 utilisation code 8264 pour reproduction effet client,reset batterie avec apprentissage","PROBLÈMES D'ÉCRAN R-LINK SE FIGE. mise a jour logiciel rlink 2. code mcs i202 utilisation code 8264 pour reproduction effet client,reset batterie avec apprentissage",display freeze
PAS DE SON DANS LA VOITURE EN COMMUNICATION OBLIGE DE SE METTRE EN HAUTPARLEUR A,CONFIG AUTO,CONTROLE ETAT FONCTIONNEMENT - MISE A JOUR - CONFIGURATION ET REMISE A ZERO.,PAS DE SON DANS LA VOITURE EN COMMUNICATION OBLIGE DE SE METTRE EN HAUTPARLEUR A,CONFIG AUTO,CONTROLE ETAT FONCTIONNEMENT - MISE A JOUR - CONFIGURATION ET REMISE A ZERO.,PAS DE SON DANS LA VOITURE EN COMMUNICATION OBLIGE DE SE METTRE EN HAUTPARLEUR A. CONFIG AUTO. CONTROLE ETAT FONCTIONNEMENT - MISE A JOUR - CONFIGURATION ET REMISE A ZERO.,sound issue
"CONNEXION BLUETOOTH, APPAIRAGE AUTOMATIQUE TELEPHONE IMPOSSIBLE",PB DE LOGICIEL DE R LINK 2,APPLI SA33381,"CONNEXION BLUETOOTH, APPAIRAGE AUTOMATIQUE TELEPHONE IMPOSSIBLE",PB DE LOGICIEL DE R LINK 2,APPLI SA33381,"CONNEXION BLUETOOTH, APPAIRAGE AUTOMATIQUE TELEPHONE IMPOSSIBLE. PB DE LOGICIEL DE R LINK 2. APPLI SA33381",bluetooth
CONTROLE R LINK SON INCONSTENT,APRES ESSAI ET CONTROLE  REPROGRAMMATION DU CALCULATEUR  RADIO,APRES ESSAI ET CONTROLE  REPROGRAMMATION DU CALCULATEUR  RAD IO,CONTROL R LINK SON INCONSTENT,APRES ESSAI ET CONTROLE  REPROGRAMMATION DU CALCULATEUR  RADIO,APRES ESSAI ET CONTROLE  REPROGRAMMATION DU CALCULATEUR  RAD IO,CONTROL R LINK SON INCONSTENT. APRES ESSAI ET CONTROLE REPROGRAMMATION DU CALCULATEUR RADIO. APRES ESSAI ET CONTROLE REPROGRAMMATION DU CALCULATEUR RAD IO,sound issue
PAS DE CONNEXION INTERNET,##,NE SE CONNECTE PAS A INTERNET . DIAG + REPROGRAMMATION DU SYSTEME DE NAVIGATION,PAS DE CONNEXION INTERNET,##,NE SE CONNECTE PAS A INTERNET . DIAG + REPROGRAMMATION DU SYSTEME DE NAVIGATION,PAS DE CONNEXION INTERNET. ##. NE SE CONNECTE PAS A INTERNET . DIAG + REPROGRAMMATION DU SYSTEME DE NAVIGATION,connectivity issue
MISE A JOUR DE CARTE GPS IMPOSSIBLE,##,RECHERCHE DE PANNE MISE A JOUR CARTOGRAPHIE IMPOSSIBLE,MISE A JOUR DE CARTE GPS IMPOSSIBLE,##,RECHERCHE DE PANNE MISE A JOUR CARTOGRAPHIE IMPOSSIBLE,MISE A JOUR DE CARTE GPS IMPOSSIBLE. ##. RECHERCHE DE PANNE MISE A JOUR CARTOGRAPHIE IMPOSSIBLE,map update issue
##,##,ACTIS40245,##,##,ACTIS40245,##. ##. ACTIS40245,display issue
DEFAUT DESTINATION GPS (VR),##,SUITE DTC932411  ANTENNE GPS EN CC.O RECH PANNE CTRL CONTINUITE ESSAI POSTE,DEFAUT DESTINATION GPS (VR),##,SUITE DTC932411  ANTENNE GPS EN CC.O RECH PANNE CTRL CONTINUITE ESSAI POSTE,DEFAUT DESTINATION GPS (VR). ##. SUITE DTC932411 ANTENNE GPS EN CC.O RECH PANNE CTRL CONTINUITE ESSAI POSTE,antenna issue
##,##,CHAMFREIN PLAQUETTE,##,##,PLAQUETTE CHAMFREIN,##. ##. PLAQUETTE CHAMFREIN,wrong designation
PROBLEME NUMERO GPS ET PROBLEME BIP SUR VITESSE,REPROGRAMMATION DU CALCULATEUR DE NAVIGATION,IMPOSSIBLE DE SAISIR LE NUMERO DE LA RUE 0 ET 9 NE S AFFICHE PAS ADRESSE ETANT 1039,PROBLEME NUMERO GPS ET PROBLEME BIP SUR VITESSE,REPROGRAMMATION DU CALCULATEUR DE NAVIGATION,IMPOSSIBLE DE SAISIR LE NUMERO DE LA RUE 0 ET 9 NE S AFFICHE PAS ADRESSE ETANT 1039,PROBLEME NUMERO GPS ET PROBLEME BIP SUR VITESSE. REPROGRAMMATION DU CALCULATEUR DE NAVIGATION. IMPOSSIBLE DE SAISIR LE NUMERO DE LA RUE 0 ET 9 NE S AFFICHE PAS ADRESSE ETANT 1039,map issue
ECRAN NOIR R LINK,##,PLAINTE CLIENT ECRAN DEVIENS NOIR CONSTATATION EFFET CLIENT LECTURE DES MEMOIRES DEFAUT CONNECTIVITE USB,ECRAN NOIR R LINK,##,PLAINTE CLIENT ECRAN DEVIENS NOIR CONSTATATION EFFET CLIENT LECTURE DES MEMOIRES DEFAUT CONNECTIVITE USB,ECRAN NOIR R LINK. ##. PLAINTE CLIENT ECRAN DEVIENS NOIR CONSTATATION EFFET CLIENT LECTURE DES MEMOIRES DEFAUT CONNECTIVITE USB,black screen
MAIN LIBRE A CONTROLER,##,suite au controle reprogramation du gps radio,MAIN LIBRE A CONTROLER,##,suite au controle reprogramation du gps radio,MAIN LIBRE A CONTROLER. ##. suite au controle reprogramation du gps radio,bluetooth
"VOLUME RADIO BLOQUER, OU VARIE",##,IOVOLUME RADIO SE BLOQUE / CONTROLE CABLAGE / CONFIG RADO,"VOLUME RADIO BLOQUER, OU VARIE",##,IOVOLUME RADIO SE BLOQUE  CONTROLE CABLAGE  CONFIG RADO,"VOLUME RADIO BLOQUER, OU VARIE. ##. IOVOLUME RADIO SE BLOQUE CONTROLE CABLAGE CONFIG RADO",sound issue
IMPOSSIBLE BLUE TUE NFP,##,BLUE TOOTH NE FONCTIONNE PAS / CONTROLE CLIP   CABLAGE / CONFIG AUTORADIO,IMPOSSIBLE MAR BLEU NFP,##,BLUE TOOTH NE FONCTIONNE PAS  CONTROLE CLIP   CABLAGE  CONFIG AUTORADIO,IMPOSSIBLE MAR BLEU NFP. ##. BLUE TOOTH NE FONCTIONNE PAS CONTROLE CLIP  CABLAGE CONFIG AUTORADIO,bluetooth
EL NAVEGADOR NO MARCA CORRECTAMENTE NO SALEN CALLES,"DESCONEX BATERIA, CONFIG AUTOMATICA Y REINICIO, ACTIS 33381","RADIONAVEGADOR BLOQUEADO, DESCONEX BATERIA, PARA REINICILIZAR",LE NAVIGATEUR NE MARQUE PAS CORRECTEMENT LES RUES NE SONT PAS SORTIES,"BATTERIE DECONNEXION, CONFIG ET RESET AUTOMATIQUES, ACTIS 33381","NAVIGATEUR VERROUILLÉ, DÉBRANCHER LA BATTERIE, POUR RÉINITIALISER","LE NAVIGATEUR NE MARQUE PAS CORRECTEMENT LES RUES NE SONT PAS SORTIES. BATTERIE DECONNEXION, CONFIG ET RESET AUTOMATIQUES, ACTIS 33381. NAVIGATEUR VERROUILLÉ, DÉBRANCHER LA BATTERIE, POUR RÉINITIALISER",map issue
CONNECTION TEL IMPOSSIBLE,##,PASSAGE OUTIL DIAG RESET RADIO CONFIG AUTO RADIO ET ESSAI TEL,CONNEXION TEL IMPOSSIBLE,##,PASSAGE OUTIL DIAG RESET RADIO CONFIG AUTO RADIO ET ESSAI TEL,CONNEXION TEL IMPOSSIBLE. ##. PASSAGE OUTIL DIAG RESET RADIO CONFIG AUTO RADIO ET ESSAI TEL,bluetooth
j ai mon telephonne qui se connecte pas sur mon vehicule,configuration radio,solution / 33381,j ai mon telephonne qui se connecte pas sur mon vehicule,radio de configuration,solutions 33381,j ai mon telephonne qui se connecte pas sur mon vehicule. radio de configuration. solutions 33381,bluetooth
REVISAR NO FUNCIONAEL MANOS LIBRES DEL TELEFONO,NO PERMITE REPROGRAMAR-FALLO EN SOFTWARE SE CONFIGURA CON VALORES DE FABRICA,VERIF.Y LOCALIZAR ANOMALIA-CTROL.INSTALACION Y DESCONECTAR BATERIA PARA DESCARGA DE CONDENSADORES Y CONFIGURACION AUTOM.,VÉRIFIEZ QUE LE TÉLÉPHONE MAINS LIBRES NE FONCTIONNE PAS,IL NE PERMET PAS LA REPROGRAMMATION - ERREUR DU LOGICIEL IL EST CONFIGURÉ AVEC DES VALEURS D'USINE,VÉRIFIER ET LOCALISER L'ANOMALIE DE CONTRÔLE D'INSTALLATION ET DÉBRANCHER LA BATTERIE POUR DÉCHARGER LES CONDENSATEURS ET AUTOM.,VÉRIFIEZ QUE LE TÉLÉPHONE MAINS LIBRES NE FONCTIONNE PAS. IL NE PERMET PAS LA REPROGRAMMATION - ERREUR DU LOGICIEL IL EST CONFIGURÉ AVEC DES VALEURS D'USINE. VÉRIFIER ET LOCALISER L'ANOMALIE DE CONTRÔLE D'INSTALLATION ET DÉBRANCHER LA BATTERIE POUR DÉCHARGER LES CONDENSATEURS ET AUTOM.,bluetooth
##,##,Reprogrammation calculateur suite dialogue client entre lui et plateforme R-link.,##,##,Reprogrammation calculateur suite dialogue client entre lui et plateforme R-link.,##. ##. Reprogrammation calculateur suite dialogue client entre lui et plateforme R-link.,connectivity issue
##,SCHWARZER BILDSCHIRM,DISPLAY AUSGEFALLEN - SCHWARZ ; KEINE REAKTION,##,ÉCRAN NOIR,ÉCHEC D'AFFICHAGE - NOIR ; PAS DE RÉACTION,##. ÉCRAN NOIR. ÉCHEC D'AFFICHAGE - NOIR ; PAS DE RÉACTION,black screen
##,"Display hat Längsstreifen auf dem Display, die sofort nach Abzug der Schutzfolie da waren, ern.","keine äu ere Einwirkung, Produktionsfehler",##,"L'écran a des rayures verticales sur l'écran, qui étaient là immédiatement après avoir retiré le film protecteur.","pas d'influence extérieure, erreur de fabrication","##. L'écran a des rayures verticales sur l'écran, qui étaient là immédiatement après avoir retiré le film protecteur. pas d'influence extérieure, erreur de fabrication",display issue
keine Internetverbindung,##,Actislösung: 40625,pas de connexion Internet,##,Solution Actis : 40625,pas de connexion Internet. ##. Solution Actis : 40625,connectivity issue
R-LINK AUSGEFALLEN-INSTANDSETZEN,r-link blockiert - reagiert nicht mehr auf Eingaben,r-link durch stromlosmachen neu gestartet,RÉPARATIONS ÉCHOUÉES R-LINK,r-link bloqué - cesse de répondre aux entrées,r-link redémarré par mise hors tension,RÉPARATIONS ÉCHOUÉES R-LINK. r-link bloqué - cesse de répondre aux entrées. r-link redémarré par mise hors tension,display freeze
##,##,SYMPTOMES I428 1-S6HRCL SOLUTION ACTIS 40 625,##,##,SYMPTÔMES I428 LIVRAISON DE LA SOLUTION 1-S6HRCL 40 625,##. ##. SYMPTÔMES I428 LIVRAISON DE LA SOLUTION 1-S6HRCL 40 625,connectivity issue
PERTE CONNEXION BLUETOOTH,DEFAUT VERSION LOGICIEL RADIO,CODE SYMPTOME I261,PERTE CONNEXION BLUETOOTH,DEFAUT VERSION LOGICIEL RADIO,CODES SYMPTÔMES I261,PERTE CONNEXION BLUETOOTH. DEFAUT VERSION LOGICIEL RADIO. CODES SYMPTÔMES I261,bluetooth
CONNEXION BLUETOOTH SE COUPE,DEFAUT VERSION LOGICIEL,code symptome I261,CONNEXION BLUETOOTH SE COUPE,DEFAUT VERSION LOGICIEL,code symptômes I261,CONNEXION BLUETOOTH SE COUPE. DEFAUT VERSION LOGICIEL. code symptômes I261,bluetooth
JAI LECRAN QUI NE SALLUME PAS,STRATEGIE CALCULATEUR DEFAILLANTE,ECRAN RADIO NE SALLUME PAS / RECHERCHE DE PANNE CONTROLE CLIP /,JAI LECRAN QUI NE SALLUME PAS,STRATÉGIE DE DÉFAILLANCE INFORMATIQUE,ECRAN RADIO NE SALLUME PAS  RECHERCHE DE PANNE CONTROLE CLIP ,JAI LECRAN QUI NE SALLUME PAS. STRATÉGIE DE DÉFAILLANCE INFORMATIQUE. ECRAN RADIO NE SALLUME PAS RECHERCHE DE PANNE CONTROLE CLIP ,black screen
Kontrolle Handyverbindung bricht immer ab,##,Autokonfiguration und Résultatset Steuergerät Navi,La connexion au téléphone portable ne cesse de chuter,##,Configuration automatique et jeu de résultats Unité de contrôle Navi,La connexion au téléphone portable ne cesse de chuter. ##. Configuration automatique et jeu de résultats Unité de contrôle Navi,bluetooth
Kundenbeanstandung                      beifahrertür Lautsprecher,##,bei erhöhtem bass brummt lautsprecher,Haut-parleur de porte de passager de plainte de client,##,Le haut-parleur bourdonne avec des basses accrues,Haut-parleur de porte de passager de plainte de client. ##. Le haut-parleur bourdonne avec des basses accrues,speaker issue
VER PAINEL MULTIMEDIA LIGA/DESLIGA-SE CONSTANTEMENTE,"Confirmar cablagem alimentaÓ¥o, configuraÓ¥o automaica e inicializar calculador de comunicaÓ¥o radio",actualizaçÆo calculador navegaçÆo,VOIR LE PANNEAU MULTIMÉDIA S'ÉTEINT CONSTAMMENT,"Confirmer le câblage d'alimentation, la configuration automatique et initialiser le calculateur de communication radio",mise à jour du calculateur de navigation,"VOIR LE PANNEAU MULTIMÉDIA S'ÉTEINT CONSTAMMENT. Confirmer le câblage d'alimentation, la configuration automatique et initialiser le calculateur de communication radio. mise à jour du calculateur de navigation",black screen
R-LINK BILDSCHIRM BLEIBT SCHWARZ,##,RADIO DEFEKT,L'ÉCRAN R-LINK RESTE NOIR,##,DEFAUT RADIO,L'ÉCRAN R-LINK RESTE NOIR. ##. DEFAUT RADIO,radnav doesn't work
bluetooth non funziona,sostituzione autoradio difettosa codecal reprog. 7gpwnm,sostituzione autoradio difettosa codecal reprog. 7gpwnm,le bluetooth ne fonctionne pas,remplacement de la reprogrammation du codecal de l'autoradio défectueux. 7gpwnm,remplacement de la reprogrammation du codecal de l'autoradio défectueux. 7gpwnm,le bluetooth ne fonctionne pas. remplacement de la reprogrammation du codecal de l'autoradio défectueux. 7gpwnm. remplacement de la reprogrammation du codecal de l'autoradio défectueux. 7gpwnm,bluetooth
SCHERMO R-LINK BUIO,azzerato e riconfigurato sistema multimediale,azzerato e riconfigurato sistema multimediale,ÉCRAN R-LINK FONCÉ,système multimédia réinitialisé et reconfiguré,système multimédia réinitialisé et reconfiguré,ÉCRAN R-LINK FONCÉ. système multimédia réinitialisé et reconfiguré. système multimédia réinitialisé et reconfiguré,black screen
L'INTERLOCUTORE NON SENTE QUASI NULLA PERCHE' LA COMUNICAZIONE E' DISTURBATA,MICROFONO MAL FUNZIONANTE,COMUNICZIONI TELEFONICHE DISTURBATE O NULLE,L'INTERLOCUTEUR N'ENTEND PRESQUE RIEN CAR LA COMMUNICATION EST PERTURBÉE,MICROPHONE DYSFONCTIONNÉ,COMMUNICATIONS TÉLÉPHONIQUES PERTURBÉES OU NULLES,L'INTERLOCUTEUR N'ENTEND PRESQUE RIEN CAR LA COMMUNICATION EST PERTURBÉE. MICROPHONE DYSFONCTIONNÉ. COMMUNICATIONS TÉLÉPHONIQUES PERTURBÉES OU NULLES,microphone issue
##,##,OGNI TANTO IL TELEFONO SI SCOLLEGA,##,##,CHAQUE FOIS QUE LE TÉLÉPHONE EST DÉCONNECTÉ,##. ##. CHAQUE FOIS QUE LE TÉLÉPHONE EST DÉCONNECTÉ,bluetooth
QUANDO LIGA O TELEFONE AO CARPLAY O MESMO DESLIGA-SE,##,soluÓ¥o tÖcnica nª 33 381,"LORSQUE VOUS CONNECTEZ LE TÉLÉPHONE AU CARPLAY, IL S'ÉTEINT",##,solution ¥ o tÖcnica nª 33 381,"LORSQUE VOUS CONNECTEZ LE TÉLÉPHONE AU CARPLAY, IL S'ÉTEINT. ##. solution ¥ o tÖcnica nª 33 381",replication issue
TELEFONO NON SI CONNETTE,RIPROGRAMMAZIONE RADO  - APPLIC SOL ACTIS 33381,TELEFONO NON SI CONNETTE,LE TÉLÉPHONE NE SE CONNECTE PAS,REPROGRAMMATION RADO - APPLIC SOL ACTIS 33381,LE TÉLÉPHONE NE SE CONNECTE PAS,LE TÉLÉPHONE NE SE CONNECTE PAS. REPROGRAMMATION RADO - APPLIC SOL ACTIS 33381. LE TÉLÉPHONE NE SE CONNECTE PAS,bluetooth
RADIO E GPS DESLIGA-S E A IMAGEM VAI ABAIXO.,"Apos diagnostico, constatou-se as falhas sistema de navegaÓ¥o conforme queixa do cliente",rocedeu-se a configuraÓ¥o sistema de navegaÓ¥o e efetuou-se teste final de estrada e a avaria ficou resolvida,LA RADIO ET LE GPS S'ÉTEIGNENT ET L'IMAGE S'ABAISSE.,"Après le diagnostic, les pannes du système de navigation ont été constatées selon la plainte du client",le système de navigation a été configuré et un essai routier final a été effectué et le défaut a été résolu,"LA RADIO ET LE GPS S'ÉTEIGNENT ET L'IMAGE S'ABAISSE. Après le diagnostic, les pannes du système de navigation ont été constatées selon la plainte du client. le système de navigation a été configuré et un essai routier final a été effectué et le défaut a été résolu",black screen
APP NON FUNZIONANO,RIPRISTINO IMPOSTAZIONI,1-S5NRW1,LES APPLICATIONS NE FONCTIONNENT PAS,RÉINITIALISER LES OPTIONS,1-S5NRW1,LES APPLICATIONS NE FONCTIONNENT PAS. RÉINITIALISER LES OPTIONS. 1-S5NRW1,connectivity issue
R-Link nach Neustart Fzg.immer auf FM,##,TA 1-SIP4O3 / keine Reprog verfügbar; kein Update im RLink Store. Nur neu konfiguriert.,R-Link après redémarrage du véhicule toujours en FM,##,TA 1-SIP4O3 pas de reprogrammation disponible ; pas de mise à jour dans RLink Store. Juste reconfiguré.,R-Link après redémarrage du véhicule toujours en FM. ##. TA 1-SIP4O3 pas de reprogrammation disponible ; pas de mise à jour dans RLink Store. Juste reconfiguré.,mch issue
ECRAN GPS NOIR,config radio,ecran radio gps reste noir diag config radio,ECRAN GPS NOIR,radio de configuration,ecran radio gps reste noir diag config radio,ECRAN GPS NOIR. radio de configuration. ecran radio gps reste noir diag config radio,black screen
